username,count,date
adrianmg,0,2021-01-12
adrianmg,0,2021-01-13
adrianmg,0,2021-01-14
adrianmg,2,2021-01-15
adrianmg,0,2021-01-16
adrianmg,0,2021-01-17
adrianmg,0,2021-01-18
adrianmg,9,2021-01-19
adrianmg,2,2021-01-20
adrianmg,4,2021-01-21
adrianmg,0,2021-01-22
adrianmg,0,2021-01-23
adrianmg,0,2021-01-24
adrianmg,0,2021-01-25
adrianmg,0,2021-01-26
adrianmg,2,2021-01-27
adrianmg,8,2021-01-28
adrianmg,1,2021-01-29
adrianmg,1,2021-01-30
adrianmg,0,2021-01-31
adrianmg,0,2021-02-01
adrianmg,0,2021-02-02
adrianmg,0,2021-02-03
adrianmg,3,2021-02-04
adrianmg,3,2021-02-05
adrianmg,0,2021-02-06
adrianmg,0,2021-02-07
adrianmg,0,2021-02-08
adrianmg,5,2021-02-09
adrianmg,5,2021-02-10
adrianmg,1,2021-02-11
adrianmg,0,2021-02-12
adrianmg,1,2021-02-13
adrianmg,0,2021-02-14
adrianmg,0,2021-02-15
adrianmg,2,2021-02-16
adrianmg,2,2021-02-17
adrianmg,0,2021-02-18
adrianmg,1,2021-02-19
adrianmg,0,2021-02-20
adrianmg,0,2021-02-21
adrianmg,0,2021-02-22
adrianmg,3,2021-02-23
adrianmg,0,2021-02-24
adrianmg,0,2021-02-25
adrianmg,1,2021-02-26
adrianmg,0,2021-02-27
adrianmg,0,2021-02-28
adrianmg,0,2021-03-01
adrianmg,8,2021-03-02
adrianmg,17,2021-03-03
adrianmg,2,2021-03-04
adrianmg,9,2021-03-05
adrianmg,0,2021-03-06
adrianmg,0,2021-03-07
adrianmg,2,2021-03-08
adrianmg,0,2021-03-09
adrianmg,0,2021-03-10
adrianmg,12,2021-03-11
adrianmg,3,2021-03-12
adrianmg,0,2021-03-13
adrianmg,0,2021-03-14
adrianmg,3,2021-03-15
adrianmg,5,2021-03-16
adrianmg,1,2021-03-17
adrianmg,1,2021-03-18
adrianmg,0,2021-03-19
adrianmg,0,2021-03-20
adrianmg,0,2021-03-21
adrianmg,0,2021-03-22
adrianmg,0,2021-03-23
adrianmg,0,2021-03-24
adrianmg,3,2021-03-25
adrianmg,0,2021-03-26
adrianmg,0,2021-03-27
adrianmg,0,2021-03-28
adrianmg,0,2021-03-29
adrianmg,0,2021-03-30
adrianmg,0,2021-03-31
adrianmg,0,2021-04-01
adrianmg,0,2021-04-02
adrianmg,0,2021-04-03
adrianmg,0,2021-04-04
adrianmg,0,2021-04-05
adrianmg,0,2021-04-06
adrianmg,0,2021-04-07
adrianmg,4,2021-04-08
adrianmg,0,2021-04-09
adrianmg,0,2021-04-10
adrianmg,0,2021-04-11
adrianmg,3,2021-04-12
adrianmg,1,2021-04-13
adrianmg,0,2021-04-14
adrianmg,0,2021-04-15
adrianmg,0,2021-04-16
adrianmg,0,2021-04-17
adrianmg,0,2021-04-18
adrianmg,1,2021-04-19
adrianmg,0,2021-04-20
adrianmg,1,2021-04-21
adrianmg,1,2021-04-22
adrianmg,0,2021-04-23
adrianmg,0,2021-04-24
adrianmg,0,2021-04-25
adrianmg,0,2021-04-26
adrianmg,17,2021-04-27
adrianmg,7,2021-04-28
adrianmg,0,2021-04-29
adrianmg,1,2021-04-30
adrianmg,0,2021-05-01
adrianmg,0,2021-05-02
adrianmg,1,2021-05-03
adrianmg,0,2021-05-04
adrianmg,2,2021-05-05
adrianmg,0,2021-05-06
adrianmg,3,2021-05-07
adrianmg,5,2021-05-08
adrianmg,1,2021-05-09
adrianmg,0,2021-05-10
adrianmg,1,2021-05-11
adrianmg,2,2021-05-12
adrianmg,3,2021-05-13
adrianmg,2,2021-05-14
adrianmg,0,2021-05-15
adrianmg,2,2021-05-16
adrianmg,3,2021-05-17
adrianmg,0,2021-05-18
adrianmg,0,2021-05-19
adrianmg,0,2021-05-20
adrianmg,0,2021-05-21
adrianmg,8,2021-05-22
adrianmg,1,2021-05-23
adrianmg,0,2021-05-24
